"source_dataset_id","player_id","club_id","original_player_name","original_team_name","player_age_years","market_value_mln","value_rank","plays_in_europe","matches_played","goals","assists","minutes_per_goal","minutes_played","instagram_followers_mln"
"1","644","29","Mathys Tel","Bayern ","19","40.0","5","1","88","25","6","113","2814","0.662"
"1","941","27","Victor Boniface","Bayer 04 Leverkusen","23","40.0","5","1","151","61","30","138","8445","0.727"
"1","853","75","Santiago Gimenez","Feyenoord","23","40.0","5","1","1","2","1","35","69","1.6"
"1","130","41","Bryan Mbeumo","Brentford FC","24","40.0","5","1","247","64","46","280","17945","0.12"
"1","18","23","Ademola Lookman","Atalanta ","26","40.0","5","1","278","67","36","238","15932","0.741"
"1","237","36","Donyell Malen","Borussia Dortmund","25","40.0","5","1","310","122","55","161","19629","0.385"
"1","164","1","Christian Pulisic","AC Milan","25","40.0","5","1","347","74","69","288","21295","7.8"
"1","872","36","Serhou Guirassy","Borussia Dortmund","28","40.0","5","1","290","109","16","158","17214","0.293"
"1","234","3","Dominic Solanke","AFC Bournemouth","26","40.0","5","1","320","123","39","190","23361","0.906"
"1","867","29","Serge Gnabry","Bayern ","29","40.0","5","1","369","127","74","183","23253","2.9"
"1","799","188","Richarlison","Tottenham Hotspur","27","38.0","5","1","350","101","36","249","25162","23.0"
"1","845","25","Samu Omorodion","Atletico de Madrid","20","35.0","5","1","72","27","1","156","4221","0.062"
"1","722","50","Nicolas Jackson","Chelsea FC","23","35.0","5","1","136","38","21","234","8894","1.2"
"1","276","139","Evanilson","Oporto FC","24","35.0","5","1","190","79","23","143","11306","0.6"
"1","253","109","Elye Wahi","Lens FC","21","35.0","5","1","141","47","13","74","8172","0.118"
"1","703","50","Mykhaylo Mudryk","Chelsea FC","23","35.0","5","1","135","19","23","375","7133","2.0"
"1","720","76","Nico González","Fiorentina","26","35.0","5","1","251","72","31","237","17083","1.5"
"1","125","5","Brian Brobbey","Ajax FC","22","35.0","5","1","241","134","40","105","14118","0.281"
"1","363","132","Harvey Barnes","Newcastle United","26","35.0","5","1","325","83","57","267","22198","0.308"
"1","82","4","Artem Dovbyk","AS Roma","27","35.0","5","1","212","102","27","138","14062","0.299"
"1","291","99","Federico Chiesa","Juventus","26","35.0","5","1","324","77","53","295","22720","4.2"
"1","337","23","Gianluca Scamacca","Atalanta ","25","35.0","5","1","244","82","15","171","14015","0.432"
"1","556","20","Leandro Trossard","Arsenal","29","35.0","5","1","413","119","55","236","28047","1.3"
"1","785","49","Raheem Sterling","Chelsea","29","35.0","5","1","571","181","113","230","41629","10.8"
"1","273","143","Estêvão","Palmeiras","17","30.0","5","0","35","11","7","183","2015","1.4"
"1","953","69","Vitor Roque","FC Barcelona","19","30.0","5","1","118","37","13","167","6178","3.7"
"1","243","180","Désiré Doué","Stade Rennes","19","30.0","5","1","90","9","8","521","4689","0.095"
"1","531","99","Kenan Yıldız","Juventus","19","30.0","5","1","104","27","17","225","6071","2.2"
"1","849","25","Samuel Lino","Atletico de Madrid","24","30.0","5","1","187","43","16","288","12371","0.148"
"1","878","42","Simon Adingra","Brighton","22","30.0","5","1","148","46","29","204","9379","0.496"
"1","658","94","Maximilian Beier","Hoffenhein","21","30.0","5","1","186","75","23","172","12882","0.058"
"1","983","193","Yéremy Pino","Villareal CF","21","30.0","5","1","133","18","12","401","7222","0.152"
"1","46","28","Amine Adli","Bayer Leverkusen","24","30.0","5","1","185","34","30","329","11179","0.733"
"1","771","139","Pepê","Oporto FC","27","30.0","5","1","291","51","46","374","19081","0.636"
"1","301","127","Folarin Balogun","Monaco Fc ","23","30.0","5","1","205","110","32","128","14085","0.371"
"1","500","25","João Félix","Atletico de Madrid","24","30.0","5","1","282","82","41","207","17013","12.7"
"1","405","119","Jadon Sancho","Manchester United","24","30.0","5","1","284","89","84","222","19716","10.2"
"1","297","69","Ferran Torres","FC Barcelona","24","30.0","5","1","265","51","34","286","14601","4.9"
"1","245","20","Eddie Nketiah","Arsenal","25","30.0","5","1","247","89","19","135","12016","0.708"
"1","897","4","Tammy Abraham","AS Roma","26","30.0","5","1","385","162","42","160","25888","2.7"
"1","21","86","Albert Gudmundsson","Gennova","27","30.0","5","1","304","97","45","213","20646","0.096"
"1","944","89","Viktor Tsygankov","Girona FC","26","30.0","5","1","294","106","77","205","21958","0.195"
"1","821","50","Romelu Lukaku","Chelsea FC","31","30.0","5","1","647","309","90","155","47783","8.5"
"1","718","10","Neymar","Al-Hilal","32","30.0","5","0","589","360","221","134","48317","223.0"
"1","567","96","Lionel Messi","Inter Miami ","37","30.0","5","1","12","12","9","86","1035","505.0"
"1","420","61","Jamie Bynoe-Gittens","Dormunt","19","28.0","5","1","80","17","14","212","3605","0.264"
"1","730","50","Noni Madueke","Chelsea FC","22","28.0","5","1","171","47","30","195","9179","0.952"
"1","520","36","Karim Adeyemi","Borussia Dortmund","22","28.0","5","1","232","85","52","162","13754","1.4"
"1","976","41","Yoane Wissa","Brentford FC","27","28.0","5","1","302","86","33","219","18872","0.153"
"1","271","182","Ermedin Demirovic","Stuttgart","26","28.0","5","1","283","95","50","188","17882","0.075"
"1","600","10","Malcom","Al-Hilal","27","28.0","5","0","348","102","61","248","25287","3.0"
"1","894","137","Taiwo Awoniyi","Nottinham Forest","26","28.0","5","1","243","77","28","195","15020","0.361"
"1","156","182","Chris Führich","Stuttgart","26","28.0","5","1","267","55","40","355","19533","0.071"
"1","26","10","Aleksandar Mitrovic","Al-Hilal","29","28.0","5","0","475","236","55","151","35698","0.668"
"1","522","151","Karim Konaté","RB Salzburgo","20","25.0","5","1","2","3","0","52","157","0.334"
"1","378","40","Igor Thiago","Brentford","23","25.0","5","1","178","63","21","164","10349","0.073"
"1","656","4","Matías Soulé","AS Roma","21","25.0","5","1","136","24","16","387","9298","0.719"
"1","613","31","Marcos Leonardo","Benfica","21","25.0","5","1","189","61","12","191","11664","0.527"
"1","748","118","Oscar Bobb","Manchester City","21","25.0","5","1","140","33","35","299","9869","0.398"
"1","75","119","Antony","Manchester United","24","25.0","5","1","216","41","33","358","14679","10.0"
"1","903","133","Terem Moffi","Niza","25","25.0","5","1","193","82","12","174","14189","0.074"
"1","627","120","Mason Greenwood","Marseille","22","25.0","5","1","212","89","30","160","14196","3.0"
"1","247","110","Edon Zhegrova","Lilie","25","25.0","5","1","1","1","0","19","19","0.241"
"1","208","31","David Neres","Benfica","27","25.0","5","1","281","74","69","228","16848","2.4"
"1","67","69","Ansu Fati","FC Barcelona","21","25.0","5","1","148","37","14","161","5962","10.0"
"1","815","25","Rodrigo Riquelme","Atletico de Madrid","24","25.0","5","1","183","27","29","363","9791","0.219"
"1","321","139","Galeno","Oporto FC","26","25.0","5","1","1","2","0","60","120","0.398"
"1","514","202","Jørgen Strand Larsen","Wolverhampton Wanderers","24","25.0","5","1","236","59","28","249","14700","0.062"
"1","47","180","Amine Gouiri","Stade Rennes","24","25.0","5","1","230","73","34","215","15716","0.427"
"1","335","131","Giacomo Raspadori","Napoli FC ","24","25.0","5","1","258","73","25","213","15567","0.428"
"1","219","42","Deniz Undav","Brighton","28","25.0","5","1","296","142","63","146","20736","0.077"
"1","938","31","Vangelis Pavlidis","Benfica","25","25.0","5","1","309","146","63","166","24202","0.08"
"1","367","202","Hee-chan Hwang","Wolverhampton Wanderers","28","25.0","5","1","301","85","50","201","17076","0.946"
"1","392","24","Iñaki Williams","Athletic Club","30","25.0","5","1","453","121","63","278","33587","0.786"
"1","28","82","Alex Iwobi","Fulhamm","28","25.0","5","1","378","46","49","551","25339","1.4"
"1","32","25","Alexander Sørloth","Atletico de Madrid","28","25.0","5","1","370","131","48","175","22879","0.331"
"1","71","25","Antoine Griezmann","Atletico de Madrid","33","25.0","5","1","693","268","119","197","52807","41.1"
"1","583","205","Luis Guilherme","west haam","18","24.0","5","1","18","1","1","677","677","0.377"
"1","768","77","Pedro","Flamengo","27","23.0","5","1","39","29","7","107","3091","0.264"
"1","713","28","Nathan Tella","Bayer Leverkusen","25","23.0","5","1","187","42","24","239","10021","0.121"
"1","242","67","Dwight McNeil","Evertton","24","22.0","5","1","229","17","27","1076","18296","0.093"
"1","68","137","Anthony Elanga","Nottinham Forest","22","22.0","5","1","163","35","29","297","10384","1.5"
