"nationality_id","nationality_name"
"1","Albania"
"2","Algeria"
"3","Angola"
"4","Argentina"
"5","Australia"
"6","Austria"
"7","Bangladesh"
"8","Belgium"
"9","Bosnia-Herzegovina"
"10","Brazil"
"11","Burkina Faso"
"12","Cameroon"
"13","Canada"
"14","Chile"
"15","Colombia"
"16","Cote dIvoire"
"17","Croatia"
"18","Cuba"
"19","Czech Republic"
"20","DR Congo"
"21","Denmark"
"22","Dominican Republic"
"23","Ecuador"
"24","Egypt"
"25","England"
"26","Finland"
"27","France"
"28","Gabon"
"29","Germany"
"30","Ghana"
"31","Greece"
"32","Grenada"
"33","Guinea"
"34","Guinea-Bissau"
"35","Hungary"
"36","Iceland"
"37","Iran"
"38","Ireland"
"39","Israel"
"40","Italy"
"41","Jamaica"
"42","Japan"
"43","Korea, South"
"44","Kosovo"
"45","Mali"
"46","Mexico"
"47","Morocco"
"48","Netherlands"
"49","New Zealand"
"50","Nigeria"
"51","North Macedonia"
"52","Northern Ireland"
"53","Norway"
"54","Paraguay"
"55","Poland"
"56","Portugal"
"57","Romania"
"58","Scotland"
"59","Senegal"
"60","Serbia"
"61","Slovakia"
"62","South Africa"
"63","Spain"
"64","Sweden"
"65","Switzerland"
"66","Tanzania"
"67","Tunisia"
"68","Turkiye"
"69","T脙录rkiye"
"70","Ukraine"
"71","United States"
"72","Uruguay"
"73","Venezuela"
"74","Wales"
"75","Zambia"
