club_id,club_name
1,AC Milan
2,AEK Athenas
3,AFC Bournemouth
4,AS Roma
5,Ajax FC
6,Al-Ahli
7,Al-Ain
8,Al-Duhail SC
9,Al-Ettifaq
10,Al-Hilal
11,Al-Ittihad
12,Al-Nassar
13,Al-Qadsiah
14,Al-Rayyan SC
15,Al-Sadd SC
16,Al-Shabab
17,Al-Taawoun
18,Anderlecht
19,Argentinos Jrs
20,Arsenal
21,Arsenal FC
22,Aston Villa
23,Atalanta 
24,Athletic Club
25,Atletico de Madrid
26,BSC Young Boys
27,Bayer 04 Leverkusen
28,Bayer Leverkusen
29,Bayern 
30,Bayern Munich
31,Benfica
32,Besiktas
33,Betis
34,Boca Juniors
35,Bolonia
36,Borussia Dortmund
37,Botafogo
38,Bournemouth
39,Braga
40,Brentford
41,Brentford FC
42,Brighton
43,Brighton & Hove Albion
44,Brujas FC 
45,Burnley
46,Burnley FC
47,Cagliari
48,Celtic FC
49,Chelsea
50,Chelsea FC
51,Chicago
52,Club Brujas
53,Columbus
54,Corinthians
55,Cruz Azul
56,Cruzeiro Sporte Clube
57,Crystal Palace
58,Dallas
59,Dinamo Moscu
60,Dinamo de kiev
61,Dormunt
62,EC Bahia
63,Eintracht
64,Estrasburgo
65,Everton
66,Everton FC
67,Evertton
68,FC Augsburgo
69,FC Barcelona
70,FC Copenhague
71,FC Lorient
72,FC Twente Enschede
73,Fc Nantes
74,Fenerbachce
75,Feyenoord
76,Fiorentina
77,Flamengo
78,Fluminese
79,For 2 Clubs
80,Friburgo FC 
81,Fulham FC
82,Fulhamm
83,Fullham
84,Galatasaray
85,Galatsaray
86,Gennova
87,Genova
88,Getafe FC
89,Girona FC
90,Gladbach
91,Granada SF
92,Gremio
93,Grêmio Foot-Ball Porto Alegrense
94,Hoffenhein
95,Inter
96,Inter Miami 
97,Internacional
98,Ipswich
99,Juventus
100,KS Samara
101,Krasnodar
102,LA Galaxy
103,LOSC Lille
104,Lask
105,Lassio
106,Lazio
107,Leeds United
108,Leicester City
109,Lens FC
110,Lilie
111,Liverpool
112,Liverpool FC
113,Lokomotiv Moscu
114,Los Angeles FC
115,Luton
116,Luton Town
117,Mainz
118,Manchester City
119,Manchester United
120,Marseille
121,Marsella
122,Midtjylland
123,Milan 
124,Mineiro
125,Monaco
126,Monaco FC
127,Monaco Fc 
128,Monterrey
129,Montpellier
130,Mountpellier
131,Napoli FC 
132,Newcastle United
133,Niza
134,Norwich
135,Norwich City
136,Nottingham Forest
137,Nottinham Forest
138,Olimpic Lyon
139,Oporto FC
140,Orlando
141,PSV 
142,Pachuca
143,Palmeiras
144,Panatinaikos
145,Paok
146,Paris Saint-Germain
147,Parma
148,Partizan 
149,Plymouth Argyle
150,RB Bragantino
151,RB Salzburgo
152,RC Celta
153,RCD Mallorca
154,RSC AnderLecht
155,RSD Espanyol
156,Rayo Vallecano
157,Real Betis
158,Real Sociedad
159,Renees
160,River Plate
161,Royal Amberes
162,SC Braga
163,SC Friburgo
164,Salernitana
165,Salt Lake
166,Sassuolo
167,Sevilla FC 
168,Shabab Al-Ahli
169,Shaktar
170,Sheffield United
171,Sin Equipo
172,Slavia Praga
173,Southampton
174,Southampton FC
175,Sparta Praga
176,Spartak Moscu
177,Sporting lisboa
178,Stade Brestois
179,Stade Reims
180,Stade Rennes
181,Standard Lieja
182,Stuttgart
183,Sunderland
184,Talleres
185,Toluca
186,Torino
187,Tottenham
188,Tottenham Hotspur
189,Toulouse
190,Trabzonspor
191,Udinese
192,Valencia FC
193,Villareal CF
194,Watford
195,Watford FC
196,Werder Bremen
197,West Bromwich Albion
198,West Ham
199,West Ham United
200,Wolfburgo
201,Wolfsburgo
202,Wolverhampton Wanderers
203,Zenit
204,lazio
205,west haam
